Track,Year,Artist,Yearly Rank,Source,Prefix,CH,40,10,PK,Time
A Good Man is Hard to Find,1919,Wilbur Sweatman's Original Jazz Band,60.0,m,1919_060,4.0,,,,
A Good Man is Hard to Find,1928,Ted Lewis & His Band,87.0,m,1928_087,4.0,,,,
A Hot Time in the Old Town,1896,Dan Quinn,1.0,m,1896_001,9.0,,,7.0,
A Hot Time in the Old Town,1897,Len Spencer,8.0,m,1897_008,8.0,,,3.0,
A Hot Time in the Old Town,1897,George J. Gaskin,10.0,m,1897_010,4.0,,,3.0,
A House Is Not A Home,1964,Brook Benton,516.0,a,1964_516,7.0,0.0,0.0,1.0,2:58
A House Is Not A Home,2010,Glee Cast,337.0,h,2010_337,1.0,0.0,0.0,1.0,2:56
A House Is Not A Home,1964,Dionne Warwick,490.0,a,1964_490,6.0,0.0,0.0,1.0,3:05
"A House, A Car And A Wedding Ring",1958,Mike Preston,493.0,Hot,1958_493,1.0,0.0,0.0,1.0,2:15
"A House, A Car And A Wedding Ring",1958,Dale Hawkins,474.0,Hot,1958_474,5.0,0.0,0.0,1.0,2:10
A Kiss Goodnight,1945,Woody Herman & His Orchestra,115.0,h,1945_115,6.0,,,,
A Kiss Goodnight,1945,Freddie Slack & His Orchestra,186.0,h,1945_186,1.0,,,,
A Kiss in the Dark,1924,Amelita Galli-Chrci,166.0,m,1924_166,1.0,,,,
A Kiss in the Dark,1924,Fritz Kreisler,167.0,m,1924_167,1.0,,,,
A Little Bird Told Me,1949,Paula Watson,58.0,h,1949_058,16.0,,,1.0,2:34
A Little Bird Told Me,1949,Evelyn Knight,4.0,h,1949_003,21.0,,,7.0,2:37
A Little Bird Told Me,1949,Blue Lu Barker,44.0,h,1949_042,14.0,,,1.0,2:12
A Little Bird Told Me,1949,Jerry Wayne,138.0,h,1949_141,5.0,,,1.0,
A Little Bit Independent,1935,Fats Waller,22.0,m,1935_022,7.0,,,2.0,
A Little Bit Independent,1936,Bob Crosby & His Orchestra,113.0,m,1936_113,6.0,,,,
A Little Bit Of Heaven,1965,Ronnie Dove,161.0,a,1965_161,10.0,6.0,0.0,2.0,2:33
A Little Bit Of Heaven,1985,Natalie Cole,360.0,a,1985_360,6.0,0.0,0.0,1.0,4:01
