Year,Yearly Rank,Source,Prefix,CH,40,10,PK,High,Verified,Artist,Artist Inverted,Featured,UnFeatured,Album,B-Side,Track,Time,Time Source,explicit,Time (Album),Artist ID,SYMBL,ReIssue,Label/Number,Media,Stereo (55-68),Pic Sleeve,Genre,Comments,Written By,Temp 1,Date Entered,Date Peaked,1st Week,2nd Week,3rd Week,4th Week,5th Week,6th Week,7th Week,8th Week,9th Week,10th Week,11th Week,12th Week,13th Week,14th Week,15th Week,16th Week,17th Week,18th Week,19th Week,20th Week,21st Week,22nd Week,23rd Week,24th Week,25th Week,26th Week,27th Week,28th Week,29th Week,30th Week,31st Week,32nd Week,33rd Week,34th Week,35th Week,36th Week,37th Week,38th Week,39th Week,40th Week,41st Week,42nd Week,43rd Week,44th Week,45th Week,46th Week,47th Week,48th Week,49th Week,50th Week,51st Week,52nd Week,53rd Week,54th Week,55th Week,56th Week,57th Week,58th Week,59th Week,60th Week,61st Week,62nd Week,63rd Week,64th Week,65th Week,66th Week,67th Week,68th Week,69th Week,70th Week,71st Week,72nd Week,73rd Week,74th Week,75th Week,76th Week,77th Week,78th Week,79th Week,80th Week,81st Week,82nd Week,83rd Week,84th Week,85th Week,86th Week,87th Week,88th Week,89th Week,90th Week,91st Week
1971,286.0,a,1971_286b,9.0,,,,-1,,Lobo,Lobo,,,,She Didn't Do Magic,I'm The Only One,3:14,,,,,,,Big Tree 116 B,45,,,Rock,"B-Side of ""She Didn't Do Magic""",Roland Kent LaVoie,,1971-06-26,,B81,B67,B57,B48,B48,B46,B46,B49,B78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,325.0,a,1971_325,7.0,0.0,0.0,2.0,53,,Elvis Presley,"Presley, Elvis",,,,Only Believe,Life,3:09,,,,,,,RCA 9985 A,45,,,Rock,,Shirl Milete,268,1971-05-15,1971-06-12,87,69,60,57,53,53,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,325.0,a,1971_325b,7.0,,,,-1,,Elvis Presley,"Presley, Elvis",,,,,Only Believe,2:47,,,,,,,RCA 9985 B,45,,,Rock,,,268,1971-05-15,,B87,B69,B60,B57,B53,B53,B60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,418.0,a,1971_418,5.0,0.0,0.0,1.0,70,p,Linda Ronstadt,"Ronstadt, Linda",,,,The Long Way Around*,(She's A) Very Lovely Woman,2:56,,,,,,,Capitol 3021,45,,,Rock,,Emitt Rhodes,109,1971-01-23,1971-02-13,90,88,73,70,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,418.0,a,1971_418b,0.0,,,,-1,,Linda Ronstadt,"Ronstadt, Linda",,,,(She's A) Very Lovely Woman*,The Long Way Around,2:17,,,,,,,Capitol 3021,45,,,Rock,,Ken Edwards,109,1971-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,5.0,a,1970_005,14.0,13.0,10.0,4.0,1,x,George Harrison,"Harrison, George",,,All Things Must Pass - Apple 639,Isn't It A Pity,My Sweet Lord,4:35,45,,,,,,Apple 2995,45s,,y,Rock,,George Harrison,1817,1970-11-28,1970-12-26,72,13,6,2,1,1,1,1,2,2,3,6,16,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,5.0,a,1970_005b,14.0,,,,-1,x,George Harrison,"Harrison, George",,,All Things Must Pass - Apple 639,My Sweet Lord,Isn't It A Pity,6:53,45,,,,,,Apple 2995,45s,,y,Rock,,George Harrison,,1970-11-28,,B72,B13,B6,B2,B1,B1,B1,B1,B2,B2,B3,B6,B16,B36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,8.0,a,1970_008,15.0,14.0,8.0,3.0,1,x,"Guess Who, The","Guess Who, The",,,American Woman - RCA Victor 4266,No Sugar Tonight,American Woman,3:51,45,,,,,,RCA Victor 74-0325,45s,,n,Rock,,"Randy Bachman, Burton Cummings, Jim Kale, Garry Peterson",1757,1970-03-21,1970-05-09,46,34,17,15,9,5,4,1,1,1,2,8,18,19,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,8.0,a,1970_008b,13.0,,,,-1,x,"Guess Who, The","Guess Who, The",,,American Woman - RCA Victor 4266,American Woman,No Sugar Tonight,2:04,45,,,,,,RCA Victor 74-0325,45s,,n,Rock,"B-Side to ""American Woman""",Randy Bachman,,1970-04-04,,B17,B15,B9,B5,B4,B1,B1,B1,B2,B8,B18,B19,B28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,14.0,a,1970_014,13.0,12.0,9.0,2.0,1,x,"Jackson 5, The",Jackson 5,,,ABC - Motown MS-709,I Found That Girl,The Love You Save,3:01,45,,,,,,Motown 1166,45m,,,Rock,,"Freddie Perren, Alphonso Mizell, Deke Richards, Berry Gordy Jr.",1519,1970-05-30,1970-06-27,45,15,10,2,1,1,2,2,4,6,8,17,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,14.0,a,1970_014b,4.0,,,,-1,x,"Jackson 5, The",Jackson 5,,,ABC - Motown MS-709,The Love You Save,I Found That Girl,3:09,45,,,,,,Motown 1166,45m,,,Rock,,"Freddie Perren, Alphonso Mizell, Deke Richards, Berry Gordy Jr.",,1970-08-01,,B6,B8,B17,B31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,15.0,a,1970_015,13.0,12.0,7.0,2.0,1,x,Sly & the Family Stone,Sly and the Family Stone,,,,Everybody Is A Star,Thank You (Falettinme Be Mice Elf Agin),4:47,45,,,,,,Epic 5-10555,45m,,,R&B,,Sylvester Stewart,1437,1970-01-03,1970-02-14,59,40,22,15,8,4,1,1,2,3,7,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,15.0,a,1970_015b,0.0,,,,-1,p,Sly & the Family Stone,Sly and the Family Stone,,,Greatest Hits,Thank You (Falettinme Be Mice Elf Agin),Everybody Is A Star,3:00,,,,,,,Epic 5-10555,45m,,,R&B,,Sylvestor Stewart,1437,1970-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
